Node,DEVICE_ID,SMAX,IP_Address,MODBUS,VOLTAGE,WATT,VAR
5,II85212001,5000,127.0.0.1,5020,40000,40001,40002
6,II85212002,6000,127.0.0.2,5020,40000,40001,40002
